Condition,writeLatencyMin,writeLatencyMax,writeLatencyAverage,writeLatencyStandardDeviation,readLatencyMin,readLatencyMax,readLatencyAverage,readLatencyStandardDeviation,writeThroughputMin,writeThroughputMax,writeThroughputAverage,writeThroughputStandardDeviation,readThroughputMin,readThroughputMax,readThroughputAverage,readThroughputStandardDeviation
10writer1reader1,11.242,73.77799999999999,21.235002000000012,13.294215253485095,14.322,42.856,21.35,7.781367476221644,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader10,10.811,73.77799999999999,21.574926000000026,13.987832236001541,13.508,45.925,19.712100000000003,8.74507700309151,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader2,10.811,73.77799999999999,21.860372000000023,14.168469190810612,13.508,45.925,19.622333333333337,8.319752962411537,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader3,10.811,74.809,21.678316499999994,13.94143906848671,13.508,45.925,19.441500000000005,8.106412026908082,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader4,10.811,74.809,21.75072000000001,14.080617938286652,13.508,45.925,19.477520000000005,8.113768587382808,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader5,10.694,74.809,21.781487666666695,14.19074000999175,13.508,45.925,19.620650000000005,8.124393609833291,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader6,10.694,74.809,21.762206571428624,14.232878542722808,13.283,45.925,19.43214285714286,8.085553450949616,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader7,10.694,74.809,21.73072325000005,14.217668838514236,13.283,45.925,19.309375,7.985198532871617,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader8,10.241999999999999,74.809,21.743010222222274,14.277118390639613,13.238,45.925,19.13574444444444,7.9414816971269575,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
10writer1reader9,10.241999999999999,75.657,21.763868000000056,14.355328320640252,13.238,45.925,19.009979999999995,7.889744756302322,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1reader,10.241999999999999,75.657,21.763868000000056,14.355328320640252,13.238,45.925,19.227581818181815,7.766693318127815,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer,10.241999999999999,75.657,21.782856435643605,14.34728448488011,13.238,45.925,19.227581818181815,7.766693318127815,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader1,10.241999999999999,75.657,21.786603725490234,14.353438793981526,11.499,45.925,18.525776190476183,7.920649160649636,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader10,10.241999999999999,75.657,21.783939223301008,14.356310073368938,11.006,45.925,18.185883870967732,7.829797848463547,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader2,10.241999999999999,75.657,21.799751538461578,14.385154928626054,11.006,46.921,18.10445365853657,7.854428001967828,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader3,10.241999999999999,75.657,21.790169523809556,14.384171806492352,11.006,50.003,18.09901764705881,7.900134261063283,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader4,10.241999999999999,75.657,21.79126207547172,14.374083873291243,11.006,50.003,18.058422950819676,7.842121489152075,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader5,10.241999999999999,75.657,21.78882542056077,14.372570574619544,11.006,50.003,18.011357746478883,7.8048256303331165,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader6,10.241999999999999,75.657,21.78483574074076,14.369866652409092,11.006,50.003,17.931922222222227,7.823756208812893,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader7,10.241999999999999,75.657,21.770254678899104,14.356606830948657,11.006,50.003,17.926236263736268,7.82557380617088,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader8,10.241999999999999,75.657,21.771895272727292,14.357692158292886,11.006,50.003,17.911257425742566,7.821454296481556,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1writer10reader9,10.241999999999999,75.657,21.76423675675677,14.355067382540533,11.006,50.003,17.836411711711705,7.843773837469841,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
25writer25reader1,10.241999999999999,75.657,21.629892500000036,14.314899346980384,10.944,50.003,17.743572058823517,7.801431139679472,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
25writer25reader2,10.241999999999999,75.657,21.553382857142886,14.298232928938821,10.929,50.003,17.732544099378863,7.779127997139603,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
25writer25reader3,10.241999999999999,75.657,21.51257935483871,14.311783510854022,10.929,50.003,17.709527956989252,7.75509322938997,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
25writer25reader4,10.241999999999999,75.657,21.531947582938347,14.36856546662617,10.929,55.721,17.722297630331727,7.79242988528632,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
25writer25reader5,10.241999999999999,75.657,21.516739237288046,14.40671383987766,10.929,55.721,17.727461440677928,7.833771418728398,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
all,10.241999999999999,75.657,21.516739237288217,14.406713839877588,10.929,55.721,17.727461440677914,7.83377141872841,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
